country,name,sex,pop
4010,Austria,1,4062391
4010,Austria,2,4274909
4038,Croatia,1,2130123
4038,Croatia,2,2292387
4045,Czech Republic,1,5055890
4045,Czech Republic,2,5263424
4070,Finland,1,2599139
4070,Finland,2,2705323
4080,France,1,30157410
4080,France,2,31878590
4085,Germany,1,40306700
4085,Germany,2,41957560
4150,Hungary,1,4752916
4150,Hungary,2,5259320
4160,Iceland,1,160713
4160,Iceland,2,154755
4184,Kyrgyzstan,1,2670738
4184,Kyrgyzstan,2,2742906
4188,Lithuania,1,1552307
4188,Lithuania,2,1768664
4190,Luxembourg,1,238245
4190,Luxembourg,2,242359
4200,Malta,1,202825
4200,Malta,2,204634
